year,n_ads,n_score_ge_2,share_score_ge_2,wilson_low,wilson_high,share_score_ge_1,share_score_eq_3
2014,10,2,0.2,0.05668094798069326,0.5098431532792767,0.4,0.0
2015,18,5,0.2777777777777778,0.12499569146355474,0.5087307754619452,0.5555555555555556,0.0
2016,32,8,0.25,0.1325224398262155,0.42106891770246624,0.53125,0.0625
2017,28,2,0.07142857142857142,0.019811647447770794,0.2264573842591786,0.4642857142857143,0.0
2018,32,3,0.09375,0.032400962626319516,0.24218499335778831,0.5,0.0
2019,39,7,0.1794871794871795,0.08977151811469995,0.3266835162444276,0.5641025641025641,0.02564102564102564
2020,45,5,0.1111111111111111,0.04840400437825558,0.23499375490890945,0.4,0.022222222222222223
2021,67,11,0.16417910447761194,0.09422515633762062,0.27055485992401096,0.47761194029850745,0.014925373134328358
2022,46,13,0.2826086956521739,0.1732404154491407,0.42548835730293777,0.6739130434782609,0.021739130434782608
2023,178,11,0.06179775280898876,0.03485351157687647,0.10725698459121707,0.39325842696629215,0.0
2024,27,4,0.14814814814814814,0.059158318596448906,0.32479063346829484,0.5925925925925926,0.037037037037037035
2025,51,13,0.2549019607843137,0.1554562324126639,0.38868544106148706,0.6470588235294118,0.0392156862745098
