canonical_id,content_hash,model,prompt_version,schema_version,prompt_fingerprint,stage,thinking,label_status
1,4405614383b47c7f09120cae666bd6bed91cbf1b96a4f3790858835c23c9ab0b,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
2,a9960da4837074c9b3fd9a381da5ca61934039f4fa5bb5f1a66e224a9e40694a,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
3,4a4b61cad58dbd75464846c1ccf0484a57e898e3e72833a4281c0a7fbf570718,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
4,08012079da8c59189e6ca43f3888862f9b4ffccf6fca62ccd88a52b537ca8474,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
5,c0dc331369112b9426020cc49a76b7250accdd093b5452161bd9d1f20d572b7f,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
6,0e407c069edbb64865096d1a22ca23b0a27078948214a2cda0781e9d6e657912,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
7,c319a9b8d4e89cd51dd6e72ab14ced8cfa9fa339c809712fd41d6450bda7fddf,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
8,8003ad6e616ce799f5ab889243511bf77cd006fd7ff499e45af3a4aca51f6526,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
9,c428755bc7c97e42ab23f0cfe12e3bed4aea66a774c0d1d62c423261f4e9532e,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
10,81b107a6bce840f0295655570d3338fb487fdf72be3016913d9b2f60788be538,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
11,5ee9ff663aa353e294ae46590144a495e876bb7bcbf405cc418baaa98dd9737a,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
12,8513a1db70c88c9db1473f4ee69953e6db812a110e8a4a70b324098a40eb44b7,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
13,8f5b6293715cc279348c54101cd7834eb64a76ad2fde00b180b1a57600787637,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
14,2a83d5b3919d66dbb97d213c8f2e5000185de967f1a9a063e95ae0b1e6d2db66,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
15,14585f6f2d789d55f4854ef2125b31b02f63f3cb4fcfa19420aa5fb237edab28,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
16,db709ed21d954569c3e3a222d5d7c1cfd5204d8e5da3973f8c5993c8b68a33ef,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
17,59bf97825ebfabe4111466d49a06007325bf65960901111b9e72670d2cff2cc8,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
18,db98792866ffbfb55dd34d3e140ede37b805e43b01996cdf1b4cafe60d59abab,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
20,2b7147f30a7ffd232f59a4b6a1c52d48b0d824ae253d77ea5dc83b2c60d81a78,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
21,c23a7bcf002fe78ce52dd5fed0387a45f69a359c94b552d181caa831b06fd465,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
22,8f164541f19d309399bb789853feb305c432c27bb08f4c1771a27100a480502a,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
23,6130c99715e1b7ae846efa17ba75fb9ca1a4dcdc8d53da6b06ceea8ef3f48fac,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
24,f932f5872cc800dd84d76ed5427f67009bd37647580575f66856cc14e8acf267,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
25,4e86b2a74843058a54219c226d2aa014c63b4f13f4a19478122193c3630592a4,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
26,d8f4210ce41eb0743bcf33d8f636287bfed4206fb3d66851cdad4b17ff73f915,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
27,409cfb2e53fc3c1f80de8c3a4d28e2cf7b9a402b3d9c678c4da90b4fcf22f52f,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
29,8197d038ef20e23260cb68bbc0cdc6c42c9d5e7851b7ddc811a40ca606ea8f72,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
30,d447a0cbbf40e140f23587efcc1d0c84501d8fbdac2db28297132a3336ad1c4e,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
31,ad5fad88a86d6627937ade9c822b0434245fa84d0b0ca22cdb80f2cfab7c31df,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
32,393a7f64a1be0866ae4a31aac4788255eb6676d4ddbdec83bac5906d3a1da0a8,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
33,6f6e028381c1837d0251e0639ba0f979ce63192adcef23838605776990ca77b9,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
34,8cb7c8d7d60498e666830775d416971c0ed54cfdce7bf43f9deeb76d133e91a9,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
35,7e17ef794ff2ba97be142e7c16ec2d837f09321dab772fb707a4d4027c629bfe,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
36,0e7b17ce9ac2e146542b8b2289c8f7c34317d13ed556f75f08b34267433f23b9,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
37,d752620d2f78e82e05acf43cd6e760f1404e9180ff87ad314d4b12b65a64b475,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
38,2f358bf90f70e47c98bbe4cb22d6210458e202f41443bf440a98cb72b92e3c1b,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
39,cf3601d1d59c0d8fd06f78a6b34a1cd21ce0dc53bab16b50378acdc1d6031c8e,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
40,34d64a7ede70621f39bcff294b007f9ffd3dd5a272a8fe046d7092e029189e35,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
41,fbaebfcf59b9d704f50a570cdcc205f40c4e3958f65eba1f986d29831c2ff012,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
42,5c9d978295bf190d8ee852db9b206a88b157935d6cffc1271b5f19b347d2f8e1,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
43,5c9d978295bf190d8ee852db9b206a88b157935d6cffc1271b5f19b347d2f8e1,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
44,66e2368e09abf6c5abab72bf0eef4add313fd59f8f785a8e6d2f45e21c0725ef,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
45,2e13487aa4ed6b3602bd92551573575188990eadfc2fc8ffcb38e660dc76b112,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
46,ff1747c22ca7d6e844c2b5c81d09d65db10a08e1ac543bee403536839a230878,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
47,62ef172be7c9b61eb517eb7f38dc514e92bdb7cf01e2f18926ede830e5971dfe,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
48,ef3926708220847b9d4f4674f092f0a90253283f218df3463526fe2d2a2cc63a,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
49,c91955c1191df7a476a5c2033ea37f23eba41234b1e1919987f569ddc197a4cd,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
51,0b442369049bc4ecfcef61b96e5a7a44bce084b718a0057061ad6797222139e4,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
52,04606180542fa868adcd1c36c5bd5e41a316d6f4eae7b719e5a05aaf70c7247e,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
54,6df367326603d05712bf20c3457cb051f5baeb5c5b3e8d9a6d152012a72223d8,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
55,3db6f75a91ff8ce29b5889c44de7427ccda13adbb3cd401b1d320218a26e6f9b,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
56,3b969269d1d8ec958c65099d547990311a541e71ef097607d55744309f3a8e08,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_adjudicated
57,05be15f0dad0e12978a8d89bf3972166c2a7d75d9c061a62becd1f61196102d2,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
58,2544a43127fe34099e3bb1a4ab837706cd6a58919e43cffde1efc874ddf92adc,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
59,6b978253390a885e969545b6fc421acede69d5c51cf9c060a089528d7d9ab870,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
60,01525865afb0e25b9cad63a05f935cc111b918411f3b2b3c0addc9e06585555f,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
61,e2e3046eec370a9af90bcfa4d0c2b3fa14ea71c4b9338d9647c5a401b3178f1e,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
62,65cd75cdb60491a14e7f6f2388f5391081c5a38452c3b662919ffbdec1707570,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
63,30e6cb9a18cdcf105741e29276e037090932ec21bd353c12d1289d53eccccdeb,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
