canonical_id,ad_company,stock_code,stock_name,listed_company,industry,match_status,match_method,match_confidence,match_note,unmatched_reason,candidate_stock_code,candidate_company,similarity,review_decision
1,中国平安人寿保险股份有限公司广东分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601628.SH,中国人寿保险股份有限公司,77.42,accepted_reviewed_rule
2,上海璞泰来新能源科技股份有限公司,603659.SH,璞泰来,上海璞泰来新能源科技集团股份有限公司,制造业,matched,reviewed_name_alias,high,历史名称/集团化更名复核,,603659.SH,上海璞泰来新能源科技集团股份有限公司,94.12,accepted_reviewed_rule
4,中国平安人寿保险股份有限公司成都市金堂支公司淮口营销服务部,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601336.SH,新华人寿保险股份有限公司,75.0,accepted_reviewed_rule
6,北京耐威科技股份有限公司,300456.SZ,赛微电子,北京赛微电子股份有限公司,制造业,matched,reviewed_name_alias,high,历史曾用名归并至赛微电子,,001259.SZ,北京利仁科技股份有限公司,83.33,accepted_reviewed_rule
7,上海万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,,689009.SH,九号有限公司,72.0,accepted_reviewed_rule
10,苏州道森钻采设备股份有限公司,603800.SH,洪田股份,江苏洪田科技股份有限公司,制造业,matched,reviewed_name_alias,high,历史曾用名归并至洪田股份,,000570.SZ,常柴股份有限公司,77.14,accepted_reviewed_rule
12,中国平安财产保险股份有限公司广东分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
15,中国平安人寿保险股份有限公司湖南分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601628.SH,中国人寿保险股份有限公司,77.42,accepted_reviewed_rule
16,中国平安财产保险股份有限公司中山中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
20,江苏龙蟠科技股份有限公司,603906.SH,龙蟠科技,江苏龙蟠科技集团股份有限公司,制造业,matched,reviewed_name_alias,high,历史名称/集团化更名复核,,603906.SH,江苏龙蟠科技集团股份有限公司,92.31,accepted_reviewed_rule
22,广东温氏食品集团股份有限公司,300498.SZ,温氏股份,温氏食品集团股份有限公司,农、林、牧、渔业,matched,reviewed_name_alias,high,地域前缀差异复核,,300498.SZ,温氏食品集团股份有限公司,92.31,accepted_reviewed_rule
24,广东驱动力生物科技股份有限公司,920275.BJ,驱动力,广东驱动力生物科技集团股份有限公司,制造业,matched,reviewed_name_alias,high,历史名称/集团化更名复核,,920275.BJ,广东驱动力生物科技集团股份有限公司,93.75,accepted_reviewed_rule
30,成都万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,,689009.SH,九号有限公司,72.0,accepted_reviewed_rule
32,成都极米科技股份有限公司,688696.SH,极米科技,极米科技股份有限公司,制造业,matched,reviewed_name_alias,high,地域前缀差异复核,,688696.SH,极米科技股份有限公司,90.91,accepted_reviewed_rule
35,佛山市万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,,689009.SH,九号有限公司,72.0,accepted_reviewed_rule
36,中国平安财产保险股份有限公司青岛分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
37,常茂生物化学工程股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,000570.SZ,常柴股份有限公司,77.14,rejected_auto_match
44,中国平安人寿保险股份有限公司浙江分公司下沙营销服务部,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601336.SH,新华人寿保险股份有限公司,75.0,accepted_reviewed_rule
48,深圳市爱迪尔珠宝股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,002104.SZ,恒宝股份有限公司,84.0,rejected_auto_match
52,宁波力勤资源科技股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,603917.SH,宁波合力科技股份有限公司,84.62,rejected_auto_match
54,飞鱼科技国际有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,689009.SH,九号有限公司,72.0,rejected_auto_match
56,中国平安财产保险股份有限公司上海分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
58,岭南园林股份有限公司,002717.SZ,*ST岭南,岭南生态文旅股份有限公司,建筑业,matched,reviewed_name_alias,high,历史曾用名归并至岭南生态文旅,,301098.SZ,金埔园林股份有限公司,80.0,accepted_reviewed_rule
60,中国平安人寿保险股份有限公司成都市金堂支公司淮口营销服务部,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601336.SH,新华人寿保险股份有限公司,75.0,accepted_reviewed_rule
