year,n_ads,n_score_ge_2,share_score_ge_2,wilson_low,wilson_high,share_score_ge_1,share_score_eq_3
2014,10,0,0.0,0.0,0.2775401687666165,0.2,0.0
2015,18,4,0.2222222222222222,0.09000781913382,0.4521502645230549,0.5,0.0
2016,32,8,0.25,0.1325224398262155,0.42106891770246624,0.53125,0.03125
2017,28,2,0.07142857142857142,0.019811647447770794,0.2264573842591786,0.5,0.0
2018,32,4,0.125,0.04970053844474301,0.2806864978482796,0.46875,0.0
2019,39,4,0.10256410256410256,0.04061265558286986,0.2357915870224483,0.5641025641025641,0.0
2020,45,3,0.06666666666666667,0.022931616462147086,0.17856874388640825,0.4,0.0
2021,67,9,0.13432835820895522,0.0723100999598399,0.23600591774727003,0.47761194029850745,0.0
2022,46,9,0.1956521739130435,0.10650490444121799,0.331715377411692,0.5652173913043478,0.021739130434782608
2023,178,4,0.02247191011235955,0.008772632252331075,0.056347780238540104,0.3651685393258427,0.0
2024,27,2,0.07407407407407407,0.020554221697383523,0.2336997729073062,0.4444444444444444,0.0
2025,51,9,0.17647058823529413,0.095722957258099,0.30254405172778037,0.6078431372549019,0.0
