canonical_id,ad_company,stock_code,stock_name,listed_company,industry,match_status,match_method,match_confidence,match_note,unmatched_reason
1,中国平安人寿保险股份有限公司广东分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
2,上海璞泰来新能源科技股份有限公司,603659.SH,璞泰来,上海璞泰来新能源科技集团股份有限公司,制造业,matched,unique_short_name,medium,唯一证券简称包含匹配，已保留方法供复核,
3,嘉亨家化股份有限公司,300955.SZ,嘉亨家化,嘉亨家化股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
4,中国平安人寿保险股份有限公司成都市金堂支公司淮口营销服务部,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
5,成都天箭科技股份有限公司,002977.SZ,*ST天箭,成都天箭科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
6,北京耐威科技股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
7,上海万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,
8,光大证券股份有限公司,601788.SH,光大证券,光大证券股份有限公司,金融、保险业,matched,exact_normalized,high,标准化公司全称精确匹配,
9,广西天山电子股份有限公司,301379.SZ,天山电子,广西天山电子股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
10,苏州道森钻采设备股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
11,贵州燃气集团股份有限公司,600903.SH,贵州燃气,贵州燃气集团股份有限公司,电力、热力、燃气及水生产和供应业,matched,exact_normalized,high,标准化公司全称精确匹配,
12,中国平安财产保险股份有限公司广东分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
13,江苏远航精密合金科技股份有限公司,920914.BJ,远航精密,江苏远航精密合金科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
14,江苏常青树新材料科技股份有限公司,603125.SH,常青科技,江苏常青树新材料科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
15,中国平安人寿保险股份有限公司湖南分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
16,中国平安财产保险股份有限公司中山中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
17,江苏晟楠电子科技股份有限公司,920006.BJ,晟楠科技,江苏晟楠电子科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
18,广东豪美新材股份有限公司,002988.SZ,豪美新材,广东豪美新材股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
20,江苏龙蟠科技股份有限公司,603906.SH,龙蟠科技,江苏龙蟠科技集团股份有限公司,制造业,matched,unique_short_name,medium,唯一证券简称包含匹配，已保留方法供复核,
21,烟台睿创微纳技术股份有限公司,688002.SH,睿创微纳,烟台睿创微纳技术股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
22,广东温氏食品集团股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
23,成都秦川物联网科技股份有限公司,688528.SH,秦川物联,成都秦川物联网科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
24,广东驱动力生物科技股份有限公司,920275.BJ,驱动力,广东驱动力生物科技集团股份有限公司,制造业,matched,unique_short_name,medium,唯一证券简称包含匹配，已保留方法供复核,
25,深圳市南极光电子科技股份有限公司,300940.SZ,南极光,深圳市南极光电子科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
26,珠海安联锐视科技股份有限公司,301042.SZ,安联锐视,珠海安联锐视科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
27,江阴江化微电子材料股份有限公司,603078.SH,江化微,江阴江化微电子材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
29,浙江泰福泵业股份有限公司,300992.SZ,泰福泵业,浙江泰福泵业股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
30,成都万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,
31,上海中洲特种合金材料股份有限公司,300963.SZ,中洲特材,上海中洲特种合金材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
32,成都极米科技股份有限公司,688696.SH,极米科技,极米科技股份有限公司,制造业,matched,unique_short_name,medium,唯一证券简称包含匹配，已保留方法供复核,
33,陕西康惠制药股份有限公司,603139.SH,康惠股份,陕西康惠制药股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
34,无锡新宏泰电器科技股份有限公司,603016.SH,新宏泰,无锡新宏泰电器科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
35,佛山市万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,
36,中国平安财产保险股份有限公司青岛分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
37,常茂生物化学工程股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
38,杭州屹通新材料股份有限公司,300930.SZ,屹通新材,杭州屹通新材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
39,包头市英思特稀磁新材料股份有限公司,301622.SZ,英思特,包头市英思特稀磁新材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
40,农心作物科技股份有限公司,001231.SZ,农心科技,农心作物科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
41,奇精机械股份有限公司,603677.SH,奇精机械,奇精机械股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
